playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8475660,2025,Cam Talbot,DET,G,other,34,2899.0,6.16,7.0,80.0,3.22,5.0,9.77,7.0,45.19,40.0,1.06,0.0,23.39,18.0,15.45,22.0,5.83,31.0,22.0,7.0,1.23,2.59,2.35,1.0,3.0,3.0,20.0,0.0,0.0
8475660,2025,Cam Talbot,DET,G,all,34,105011.0,79.89,93.0,1716.0,62.13,62.0,211.84,197.0,895.93,796.0,31.36,2.0,484.35,449.0,355.08,421.0,77.01,905.0,239.0,79.0,28.07,28.13,23.69,35.0,29.0,29.0,493.0,0.0,0.0
8475660,2025,Cam Talbot,DET,G,5on5,34,86893.0,59.43,69.0,1384.0,48.16,52.0,175.4,169.0,719.0,640.0,24.3,2.0,388.01,366.0,288.66,327.0,57.68,754.0,170.0,59.0,23.25,20.18,15.99,29.0,22.0,18.0,401.0,0.0,0.0
8475660,2025,Cam Talbot,DET,G,4on5,34,6445.0,11.0,13.0,212.0,9.19,5.0,21.46,21.0,102.16,86.0,0.51,0.0,62.78,57.0,33.19,45.0,10.34,94.0,38.0,9.0,2.78,4.27,3.95,3.0,4.0,6.0,71.0,0.0,0.0
8475660,2025,Cam Talbot,DET,G,5on4,34,8774.0,1.83,1.0,28.0,1.06,0.0,3.67,0.0,21.07,23.0,5.26,0.0,6.73,5.0,13.99,22.0,1.8,20.0,6.0,2.0,0.59,0.71,0.54,1.0,0.0,0.0,0.0,0.0,0.0
8476434,2025,John Gibson,DET,G,other,57,5734.0,9.33,10.0,155.0,5.73,8.0,17.6,13.0,78.53,70.0,1.62,0.0,46.39,37.0,26.18,40.0,8.98,71.0,28.0,9.0,2.68,3.69,2.96,3.0,6.0,1.0,47.0,0.0,0.0
8476434,2025,John Gibson,DET,G,all,57,190874.0,155.73,144.0,3217.0,114.73,166.0,402.09,316.0,1668.87,1461.0,55.61,4.0,902.91,806.0,649.28,846.0,149.2,1691.0,445.0,145.0,53.52,54.52,47.7,62.0,45.0,37.0,936.0,4.0,2.0
8476434,2025,John Gibson,DET,G,5on5,57,157030.0,109.73,101.0,2575.0,86.67,129.0,329.21,262.0,1315.07,1145.0,44.71,3.0,705.75,640.0,521.19,662.0,105.43,1368.0,337.0,92.0,43.28,41.54,24.91,55.0,34.0,12.0,778.0,4.0,2.0
8476434,2025,John Gibson,DET,G,4on5,57,13235.0,32.73,30.0,420.0,19.77,27.0,48.65,36.0,233.41,195.0,0.86,0.0,136.45,119.0,73.75,107.0,30.94,216.0,62.0,41.0,6.54,7.14,19.06,3.0,3.0,24.0,101.0,0.0,0.0
8476434,2025,John Gibson,DET,G,5on4,57,14875.0,3.57,3.0,59.0,2.31,2.0,5.77,4.0,37.43,46.0,8.15,1.0,12.39,9.0,25.71,33.0,3.48,32.0,16.0,3.0,0.85,1.94,0.77,1.0,2.0,0.0,8.0,0.0,0.0
