lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
847742984820788483464,2025,Raymond-Copp-Kasper,DET,line,5on5,5,622.0,41.0,0.24,0.47,0.36,2.85,0.18,0.27,0.6,0.08,1.65,1.22,0.18,0.18,0.18,3.0,1.0,3.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,0.0,0.0,4.0,2.0,1.0,2.0,3.0,1.0,0.0,0.09,0.1,0.0,0.0,0.0,0.0,6.55,4.0,3.83,0.0,0.05,0.0,0.0,0.24,0.23,0.23,5.06,0.59,0.3,1.39,0.16,2.58,1.98,0.58,0.61,0.6,5.0,2.0,1.0,8.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,4.0,1.0,2.0,4.0,3.0,1.0,1.0,6.0,0.0,1.0,0.23,0.0,0.37,2.0,0.0,1.0,8.52,7.0,7.32,0.0,0.06,0.37,0.37,0.29,0.29,0.29
847403784774568479942,2025,Van Riemsdyk-Compher-Shine,DET,line,5on5,6,858.0,78.0,0.11,0.27,0.28,5.1,0.1,0.24,1.45,0.18,2.91,2.12,0.1,0.1,0.1,6.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,6.0,7.0,0.0,0.0,12.0,5.0,1.0,3.0,7.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,8.3,7.0,7.2,2.0,0.05,0.0,0.0,0.15,0.15,0.15,12.42,0.81,0.92,3.43,0.47,7.23,5.15,0.79,0.78,0.76,11.0,7.0,4.0,22.0,0.0,2.0,0.0,3.0,0.0,7.0,6.0,11.0,18.0,1.0,2.0,11.0,6.0,1.0,4.0,15.0,3.0,0.0,0.47,0.34,0.0,0.0,0.0,0.0,21.25,18.0,17.41,2.0,0.19,0.2,0.2,0.8,0.77,0.75
847889184799928481077,2025,Leonard-Rasmussen-Appleton,DET,line,5on5,2,785.0,8.0,0.24,0.21,0.15,1.48,0.13,0.1,0.41,0.06,0.74,0.56,0.13,0.15,0.15,2.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,4.0,6.0,9.0,2.0,3.0,1.0,1.0,0.0,0.01,0.12,0.0,0.0,0.0,0.0,5.73,2.0,2.31,2.0,0.02,0.0,0.0,0.15,0.17,0.17,7.87,0.41,0.51,1.68,0.24,4.74,3.42,0.4,0.39,0.38,8.0,3.0,8.0,19.0,0.0,0.0,0.0,1.0,0.0,6.0,4.0,8.0,11.0,0.0,0.0,8.0,6.0,0.0,3.0,10.0,1.0,0.0,0.33,0.09,0.0,0.0,0.0,0.0,17.86,11.0,10.34,1.0,0.11,0.0,0.0,0.52,0.49,0.48
847889184799928484794,2025,Appleton-Rasmussen-Brandsegg-Nygrd,DET,line,5on5,3,830.0,13.0,0.14,0.25,0.18,2.9,0.17,0.18,0.77,0.09,1.69,1.1,0.13,0.17,0.14,3.0,1.0,4.0,8.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,4.0,0.0,0.0,3.0,6.0,1.0,2.0,3.0,1.0,0.0,0.03,0.14,0.0,0.0,0.0,0.0,8.5,4.0,4.23,2.0,0.04,0.0,0.0,0.21,0.21,0.17,12.65,1.01,0.89,3.18,0.48,7.34,5.1,0.99,0.98,0.96,7.0,11.0,6.0,24.0,0.0,2.0,0.0,1.0,0.0,9.0,6.0,7.0,18.0,0.0,0.0,10.0,4.0,0.0,3.0,15.0,2.0,1.0,0.53,0.26,0.22,0.0,0.0,0.0,23.43,18.0,17.74,3.0,0.18,0.38,0.38,0.81,0.78,0.77
847745684788918481725,2025,Soderblom-Compher-Appleton,DET,line,5on5,8,783.0,86.0,0.15,0.33,0.45,3.5,0.09,0.16,0.99,0.13,2.07,1.57,0.09,0.09,0.09,4.0,1.0,1.0,6.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,4.0,3.0,6.0,6.0,7.0,2.0,5.0,5.0,0.0,0.0,0.09,0.0,0.0,1.0,0.0,0.0,5.79,5.0,4.77,0.0,0.03,0.0,0.0,0.12,0.12,0.12,4.33,0.53,0.36,1.21,0.15,2.27,1.48,0.51,0.56,0.54,2.0,4.0,6.0,12.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,6.0,2.0,4.0,4.0,5.0,0.0,0.0,4.0,1.0,1.0,0.15,0.15,0.24,0.0,0.0,0.0,12.61,6.0,6.26,0.0,0.08,0.38,0.38,0.22,0.23,0.23
847403784834648484794,2025,Van Riemsdyk-Kasper-Brandsegg-Nygrd,DET,line,5on5,2,954.0,5.0,0.56,0.74,0.67,7.03,0.32,0.43,1.91,0.24,4.2,2.9,0.31,0.32,0.31,5.0,5.0,7.0,17.0,1.0,1.0,0.0,1.0,0.0,5.0,2.0,4.0,9.0,0.0,0.0,13.0,10.0,2.0,4.0,9.0,1.0,0.0,0.2,0.12,0.0,0.0,1.0,0.0,16.43,10.0,9.73,2.0,0.09,0.03,0.03,0.38,0.38,0.37,3.54,0.25,0.23,0.79,0.1,2.2,1.43,0.25,0.26,0.26,5.0,0.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,4.0,1.0,2.0,7.0,7.0,2.0,5.0,4.0,1.0,0.0,0.16,0.1,0.0,1.0,0.0,0.0,6.2,5.0,5.09,1.0,0.05,0.0,0.0,0.3,0.3,0.3
84757538482762,2025,Edvinsson-Faulk,DET,pairing,5on5,11,1095.0,75.0,0.17,0.35,0.32,8.13,0.54,0.49,2.26,0.3,4.17,3.24,0.53,0.55,0.55,8.0,3.0,4.0,15.0,1.0,1.0,0.0,1.0,0.0,5.0,3.0,7.0,10.0,0.0,0.0,6.0,9.0,2.0,5.0,10.0,1.0,0.0,0.43,0.11,0.0,1.0,0.0,0.0,15.49,11.0,11.32,2.0,0.11,0.06,0.06,0.58,0.59,0.59,17.4,2.54,1.42,3.62,0.57,8.51,6.34,2.41,2.52,2.39,14.0,9.0,5.0,28.0,1.0,4.0,1.0,3.0,0.0,10.0,5.0,13.0,22.0,1.0,2.0,4.0,15.0,2.0,3.0,12.0,6.0,5.0,0.47,0.83,1.25,0.0,0.0,1.0,27.77,23.0,22.85,1.0,0.3,0.96,0.96,1.88,1.88,1.85
84816078482762,2025,Johansson-Edvinsson,DET,pairing,5on5,53,3713.0,370.0,0.55,0.51,0.51,26.61,1.91,1.56,6.55,0.84,13.15,10.98,1.87,1.92,1.87,20.0,15.0,12.0,47.0,0.0,4.0,0.0,3.0,0.0,7.0,21.0,20.0,35.0,2.0,4.0,15.0,16.0,7.0,11.0,29.0,5.0,1.0,0.85,0.79,0.28,0.0,0.0,0.0,47.02,35.0,35.01,5.0,0.32,0.53,0.51,1.73,1.74,1.73,24.51,1.58,1.51,6.4,0.77,12.63,10.11,1.53,1.58,1.53,23.0,10.0,12.0,45.0,1.0,1.0,0.0,3.0,0.0,12.0,16.0,22.0,32.0,2.0,4.0,11.0,23.0,3.0,17.0,29.0,3.0,1.0,0.98,0.33,0.27,0.0,1.0,0.0,44.79,33.0,33.04,7.0,0.32,0.27,0.27,1.63,1.62,1.61
847889184793378483464,2025,Appleton-Kasper-Debrincat,DET,line,5on5,10,3158.0,63.0,0.56,0.56,0.58,31.37,2.41,2.04,9.08,1.13,16.32,12.04,2.27,2.48,2.35,31.0,12.0,16.0,59.0,4.0,6.0,0.0,3.0,0.0,13.0,17.0,27.0,39.0,1.0,2.0,22.0,12.0,1.0,22.0,34.0,6.0,3.0,1.08,0.65,0.67,3.0,1.0,0.0,59.92,43.0,43.63,10.0,0.42,1.03,1.03,1.8,1.87,1.83,22.94,1.92,1.58,5.31,0.73,12.46,9.0,1.81,1.83,1.72,26.0,5.0,16.0,47.0,0.0,3.0,0.0,9.0,0.0,9.0,10.0,26.0,31.0,1.0,2.0,29.0,18.0,5.0,12.0,23.0,5.0,3.0,0.67,0.54,0.71,0.0,0.0,0.0,44.97,31.0,29.78,6.0,0.33,0.71,0.71,1.54,1.47,1.44
847403784774568484471,2025,Van Riemsdyk-Compher-Finnie,DET,line,5on5,13,2622.0,107.0,0.4,0.47,0.43,20.67,1.57,1.52,5.08,0.76,11.57,8.5,1.55,1.58,1.55,16.0,13.0,18.0,47.0,2.0,1.0,0.0,3.0,0.0,10.0,13.0,14.0,27.0,4.0,8.0,24.0,14.0,3.0,15.0,22.0,6.0,1.0,0.63,0.74,0.2,0.0,2.0,0.0,47.69,29.0,28.88,8.0,0.32,0.07,0.08,1.81,1.82,1.78,27.9,2.37,1.72,7.73,0.9,14.68,10.59,2.28,2.38,2.28,25.0,13.0,16.0,54.0,3.0,3.0,1.0,8.0,0.0,9.0,15.0,22.0,35.0,5.0,10.0,16.0,26.0,4.0,12.0,30.0,5.0,3.0,0.78,0.59,1.0,1.0,0.0,2.0,54.83,38.0,39.05,6.0,0.36,0.72,0.72,2.01,2.03,2.0
