playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8477429,2025,Andrew Copp,DET,C,other,79,3402.0,71.0,26.06,0.65,0.46,0.63,0.45,0.64,0.46,249.0,10.52,4.33,0.79,1.42,0.36,4.47,2.63,4.08,4.33,4.08,2.0,1.0,9.0,5.0,1.0,15.0,7.0,4.0,1.0,0.0,1.0,0.0,2.0,6.0,5.0,10.0,1.0,2.0,31.0,0.0,1.0,0.0,4.0,3.0,7.0,0.15,0.37,3.81,0.0,0.0,4.0,15.0,14.0,14.0,0.0,0.23,0.49,0.69,3.87,3.87,3.69,71.0,18.0,17.0,7.0,29.0,9.0,4.0,19.0,39.0,31.0,17.0,5740.0,2.0,0.0,0.0,5.0,55.08,13.51,12.18,13.51,12.18,54.0,19.0,24.0,97.0,13.0,10.0,0.0,37.0,17.0,19.0,1.41,2.37,9.74,3.0,1.0,9.0,97.0,73.0,73.0,1.18,3.19,3.19,11.49,11.49,10.8,28.86,7.4,7.17,7.4,7.17,21.0,20.0,15.0,56.0,11.0,2.0,0.0,18.0,13.0,10.0,0.67,1.62,5.11,2.0,4.0,5.0,56.0,41.0,41.0,0.5,0.3,0.3,7.61,7.61,7.39,14.71,17.36,129.0,155.0,0.0,0.02,0.0,1.0,0.0,1.0
8477429,2025,Andrew Copp,DET,C,all,79,78557.0,1747.0,41.41,0.5,0.5,0.49,0.49,0.51,0.5,409.0,138.86,19.83,11.2,30.88,5.04,68.67,49.37,19.04,19.84,19.04,18.0,16.0,115.0,70.0,34.0,219.0,43.0,9.0,21.0,1.0,23.0,2.0,66.0,64.0,106.0,176.0,12.0,24.0,537.0,44.0,22.0,75.0,103.0,53.0,29.0,3.37,6.22,10.24,2.0,2.0,5.0,219.4,185.0,185.32,24.0,2.54,4.6,5.79,16.59,16.62,16.24,1747.0,214.0,293.0,287.0,953.0,233.0,253.0,253.0,1008.0,537.0,453.0,209252.0,24.0,28.0,13.0,64.0,690.87,68.51,64.78,68.68,64.95,632.0,309.0,344.0,1285.0,70.0,76.0,4.0,682.0,183.0,76.0,19.22,22.16,27.13,28.0,22.0,20.0,1280.95,941.0,940.21,10.78,15.62,15.63,63.66,63.78,62.21,672.38,67.31,64.64,67.56,64.9,585.0,332.0,395.0,1312.0,70.0,57.0,8.0,669.0,184.0,64.0,21.3,22.59,23.42,26.0,21.0,23.0,1315.16,917.0,919.64,10.49,10.84,10.85,66.95,67.21,65.35,178.71,176.1,3395.0,3474.0,0.0,0.0,0.0,0.0,0.0,0.0
8477429,2025,Andrew Copp,DET,C,5on5,79,62192.0,1342.0,41.41,0.51,0.48,0.5,0.49,0.51,0.49,438.0,105.63,12.61,8.27,24.9,3.84,52.53,38.84,12.22,12.61,12.22,10.0,12.0,90.0,51.0,26.0,167.0,26.0,4.0,18.0,1.0,20.0,2.0,50.0,47.0,86.0,137.0,10.0,20.0,447.0,43.0,18.0,66.0,80.0,44.0,17.0,2.84,5.19,4.58,2.0,2.0,0.0,167.4,141.0,141.32,23.0,1.76,2.98,4.52,9.85,9.88,9.74,1342.0,158.0,166.0,258.0,760.0,197.0,208.0,194.0,743.0,447.0,374.0,172974.0,20.0,24.0,11.0,47.0,522.38,41.66,40.14,41.83,40.32,482.0,233.0,282.0,997.0,42.0,59.0,3.0,542.0,131.0,42.0,15.11,15.61,10.95,21.0,17.0,4.0,992.95,715.0,714.21,7.03,10.5,10.51,38.19,38.31,37.73,498.77,40.46,39.24,40.71,39.5,437.0,244.0,313.0,994.0,40.0,36.0,4.0,523.0,126.0,32.0,16.67,15.58,8.22,21.0,12.0,7.0,997.16,681.0,683.64,6.85,6.29,6.3,41.01,41.26,40.58,112.9,123.4,2658.0,2816.0,1.45,2.06,45.0,36.0,37.0,27.0
8477429,2025,Andrew Copp,DET,C,4on5,79,6789.0,189.0,38.95,0.06,0.12,0.09,0.1,0.1,0.12,215.0,3.17,0.19,0.15,0.5,0.1,0.89,2.18,0.19,0.19,0.19,0.0,0.0,4.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,2.0,26.0,0.0,2.0,2.0,3.0,1.0,0.0,0.06,0.12,0.0,0.0,0.0,0.0,6.0,4.0,4.0,1.0,0.03,0.0,0.0,0.22,0.22,0.22,189.0,4.0,105.0,13.0,67.0,7.0,36.0,15.0,131.0,26.0,25.0,11666.0,2.0,2.0,1.0,1.0,14.98,1.17,1.17,1.17,1.17,16.0,4.0,2.0,22.0,0.0,0.0,0.0,15.0,4.0,1.0,0.44,0.41,0.32,0.0,0.0,0.0,22.0,20.0,20.0,0.17,0.0,0.0,1.34,1.34,1.34,128.38,17.55,16.33,17.55,16.33,108.0,65.0,62.0,235.0,15.0,19.0,4.0,116.0,37.0,20.0,3.64,4.37,9.53,2.0,3.0,10.0,235.0,173.0,173.0,2.87,4.25,4.25,16.17,16.17,15.2,3.25,23.47,40.0,355.0,0.0,0.05,0.0,1.0,0.0,1.0
8477429,2025,Andrew Copp,DET,C,5on4,79,6174.0,145.0,38.19,0.89,0.93,0.88,0.9,0.87,0.89,458.0,18.78,2.62,1.96,3.91,0.71,10.49,5.3,2.46,2.62,2.46,4.0,3.0,11.0,14.0,5.0,30.0,8.0,1.0,2.0,0.0,2.0,0.0,13.0,7.0,10.0,24.0,0.0,0.0,31.0,1.0,0.0,7.0,16.0,4.0,5.0,0.32,0.45,1.85,0.0,0.0,1.0,30.0,25.0,25.0,0.0,0.51,1.13,0.58,2.55,2.55,2.49,145.0,34.0,5.0,9.0,97.0,20.0,5.0,25.0,95.0,31.0,30.0,14930.0,0.0,0.0,0.0,10.0,93.66,11.54,10.69,11.54,10.69,75.0,52.0,35.0,162.0,13.0,7.0,1.0,85.0,28.0,14.0,2.08,3.33,6.13,2.0,4.0,7.0,162.0,127.0,127.0,2.31,1.93,1.93,11.92,11.92,11.66,13.99,1.43,1.43,1.43,1.43,16.0,3.0,3.0,22.0,1.0,0.0,0.0,11.0,7.0,1.0,0.28,0.91,0.24,0.0,1.0,0.0,22.0,19.0,19.0,0.23,0.0,0.0,1.66,1.66,1.66,35.77,2.57,460.0,49.0,0.06,0.0,1.0,0.0,1.0,0.0
8477946,2025,Dylan Larkin,DET,C,other,74,5235.0,82.0,57.11,0.54,0.45,0.6,0.35,0.62,0.35,190.0,27.98,7.95,2.18,4.83,1.01,13.35,7.68,7.1,7.95,7.1,3.0,8.0,29.0,8.0,11.0,48.0,20.0,9.0,5.0,1.0,4.0,0.0,9.0,10.0,20.0,28.0,2.0,4.0,63.0,0.0,4.0,4.0,14.0,11.0,12.0,0.53,1.44,5.98,1.0,3.0,5.0,48.0,37.0,37.0,1.0,0.67,1.27,2.74,5.88,5.88,5.68,82.0,15.0,25.0,9.0,33.0,5.0,9.0,32.0,36.0,63.0,53.0,4656.0,4.0,4.0,2.0,3.0,98.99,21.27,18.27,21.27,18.27,92.0,41.0,39.0,172.0,25.0,17.0,2.0,58.0,43.0,32.0,2.38,5.43,13.46,4.0,8.0,13.0,172.0,133.0,133.0,2.45,5.23,5.23,18.49,18.49,16.63,59.41,18.26,17.71,18.26,17.71,48.0,34.0,35.0,117.0,15.0,4.0,0.0,31.0,22.0,29.0,1.28,2.65,14.32,0.0,1.0,14.0,117.0,82.0,82.0,1.12,0.75,0.75,18.63,18.63,18.08,9.4,11.63,68.0,125.0,0.0,0.06,0.0,1.0,0.0,1.0
8477946,2025,Dylan Larkin,DET,C,all,74,89631.0,1772.0,66.28,0.56,0.46,0.55,0.47,0.55,0.48,134.0,260.89,33.76,20.18,54.45,8.54,137.58,95.49,31.87,33.67,31.78,16.0,17.0,229.0,121.0,102.0,452.0,67.0,34.0,33.0,5.0,39.0,0.0,120.0,124.0,195.0,316.0,19.0,38.0,789.0,46.0,18.0,67.0,229.0,81.0,40.0,6.96,9.88,16.92,6.0,13.0,15.0,449.8,350.0,348.21,23.0,4.81,7.25,10.05,28.52,28.44,27.74,1772.0,303.0,325.0,317.0,827.0,215.0,226.0,303.0,1028.0,789.0,703.0,180178.0,38.0,48.0,24.0,33.0,912.77,102.41,94.1,102.31,94.0,802.0,432.0,432.0,1666.0,103.0,106.0,15.0,859.0,259.0,116.0,25.64,31.76,45.02,26.0,39.0,38.0,1659.67,1234.0,1229.73,16.42,26.05,26.05,92.78,92.61,87.77,728.35,79.54,76.21,79.78,76.42,629.0,367.0,386.0,1382.0,73.0,66.0,8.0,702.0,208.0,86.0,21.75,25.07,32.73,21.0,21.0,31.0,1384.02,996.0,995.99,11.43,14.74,14.74,76.22,76.38,73.9,127.97,150.01,2716.0,3107.0,0.0,0.0,0.0,0.0,0.0,0.0
8477946,2025,Dylan Larkin,DET,C,5on5,74,63909.0,1367.0,66.28,0.47,0.48,0.5,0.48,0.5,0.49,271.0,145.76,11.7,9.82,34.31,4.86,79.76,59.56,11.35,11.61,11.26,11.0,5.0,125.0,75.0,65.0,265.0,25.0,9.0,13.0,1.0,25.0,0.0,73.0,80.0,116.0,191.0,12.0,24.0,499.0,46.0,10.0,55.0,154.0,40.0,6.0,4.62,4.97,2.1,4.0,4.0,1.0,262.8,200.0,198.21,20.0,2.02,2.42,2.54,11.18,11.1,10.92,1367.0,167.0,185.0,285.0,730.0,187.0,170.0,212.0,798.0,499.0,473.0,156576.0,24.0,38.0,19.0,26.0,528.79,40.39,39.4,40.29,39.3,458.0,266.0,283.0,1007.0,37.0,43.0,4.0,567.0,127.0,30.0,16.5,15.76,8.13,18.0,15.0,4.0,1000.67,724.0,719.74,7.0,8.41,8.41,38.98,38.81,38.31,520.75,45.24,43.5,45.47,43.7,447.0,263.0,286.0,996.0,42.0,53.0,6.0,530.0,139.0,41.0,16.49,17.22,11.53,17.0,16.0,9.0,998.02,710.0,709.99,7.27,11.04,11.04,41.47,41.62,40.74,102.57,109.11,2419.0,2574.0,1.27,1.06,47.0,32.0,32.0,20.0
8477946,2025,Dylan Larkin,DET,C,4on5,74,6558.0,182.0,64.95,0.14,0.07,0.11,0.08,0.12,0.1,214.0,10.36,1.38,0.52,1.4,0.32,2.91,6.48,1.26,1.38,1.26,0.0,0.0,10.0,3.0,3.0,16.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,7.0,9.0,12.0,2.0,4.0,76.0,0.0,3.0,3.0,7.0,4.0,2.0,0.32,0.5,0.56,0.0,1.0,0.0,16.0,13.0,13.0,2.0,0.12,0.04,0.37,1.13,1.13,1.12,182.0,1.0,115.0,10.0,56.0,11.0,35.0,24.0,112.0,76.0,103.0,11241.0,4.0,0.0,0.0,0.0,16.99,2.22,2.1,2.22,2.1,18.0,4.0,4.0,26.0,2.0,2.0,0.0,13.0,5.0,4.0,0.5,0.58,1.14,0.0,2.0,0.0,26.0,22.0,22.0,0.21,0.37,0.37,2.06,2.06,2.06,112.98,13.13,12.19,13.13,12.19,90.0,66.0,59.0,215.0,13.0,8.0,2.0,106.0,36.0,14.0,2.89,3.94,6.29,2.0,3.0,8.0,215.0,156.0,156.0,2.62,2.67,2.67,13.08,13.08,12.11,1.89,24.74,32.0,356.0,0.11,0.04,2.0,1.0,2.0,1.0
8477946,2025,Dylan Larkin,DET,C,5on4,74,13929.0,141.0,62.88,0.93,0.89,0.9,0.89,0.88,0.87,201.0,70.82,11.95,7.25,12.88,2.2,38.73,19.0,11.38,11.95,11.38,2.0,4.0,58.0,34.0,22.0,114.0,19.0,13.0,13.0,3.0,9.0,0.0,34.0,23.0,45.0,79.0,3.0,6.0,143.0,0.0,1.0,5.0,48.0,25.0,19.0,1.19,2.8,7.96,1.0,4.0,8.0,114.0,92.0,92.0,0.0,1.89,3.31,4.41,9.43,9.43,9.12,141.0,120.0,0.0,13.0,8.0,12.0,12.0,35.0,82.0,143.0,70.0,7184.0,6.0,6.0,3.0,4.0,257.52,37.21,33.04,37.21,33.04,221.0,120.0,103.0,444.0,36.0,43.0,9.0,211.0,82.0,48.0,5.76,9.69,21.76,4.0,12.0,20.0,444.0,341.0,341.0,6.59,11.84,11.84,31.97,31.97,29.51,32.94,2.69,2.6,2.69,2.6,42.0,3.0,4.0,49.0,3.0,1.0,0.0,33.0,10.0,2.0,0.97,1.14,0.58,2.0,1.0,0.0,49.0,45.0,45.0,0.39,0.29,0.29,2.8,2.8,2.71,12.1,1.48,180.0,23.0,0.0,0.04,0.0,3.0,0.0,3.0
