name,team,pos,cap_hit,years_remaining,expiry_year,expiry_status,team_current_spotrac,team_source
Leon Draisaitl,EDM,C,14000000,8,2033,UFA,EDM,eh_2025-26
Auston Matthews,TOR,C,13250000,3,2028,UFA,TOR,eh_2025-26
Nathan MacKinnon,COL,C,12600000,6,2031,UFA,COL,eh_2025-26
Connor McDavid,EDM,C,12500000,3,2028,UFA,EDM,eh_2025-26
Mitchell Marner,VGK,RW,12000000,8,2033,UFA,VGK,eh_2025-26
Mikko Rantanen,DAL,RW,12000000,8,2033,UFA,DAL,eh_2025-26
Artemi Panarin,LAK/NYR,LW,11643000,3,2028,UFA,LAK,eh_2025-26
Elias Pettersson,VAN,C,11600000,7,2032,UFA,VAN,eh_2025-26
William Nylander,TOR,C/RW,11500000,7,2032,UFA,TOR,eh_2025-26
David Pastrnak,BOS,RW,11250000,6,2031,UFA,BOS,eh_2025-26
Jonathan Huberdeau,CGY,LW,10500000,6,2031,UFA,CGY,eh_2025-26
Aleksander Barkov,FLA,C,10000000,5,2030,UFA,FLA,spotrac_current
Jack Eichel,VGK,C,10000000,9,2034,UFA,VGK,eh_2025-26
Tyler Seguin,DAL,C,9850000,2,2027,UFA,DAL,eh_2025-26
Sebastian Aho,CAR,LW,9750000,7,2032,UFA,CAR,eh_2025-26
Nikita Kucherov,TBL,RW,9500000,2,2027,UFA,TBL,eh_2025-26
Alex Ovechkin,WSH,LW,9500000,1,2026,UFA,WSH,eh_2025-26
Brayden Point,TBL,C,9500000,5,2030,UFA,TBL,eh_2025-26
Mark Stone,VGK,RW,9500000,2,2027,UFA,VGK,eh_2025-26
Matthew Tkachuk,FLA,LW,9500000,5,2030,UFA,FLA,eh_2025-26
Mathew Barzal,NYI,C,9150000,6,2031,UFA,NYI,eh_2025-26
Jake Guentzel,TBL,C/LW,9000000,6,2031,UFA,TBL,eh_2025-26
Kirill Kaprizov,MIN,LW,9000000,9,2034,UFA,MIN,eh_2025-26
Timo Meier,NJD,LW,8800000,6,2031,UFA,NJD,eh_2025-26
Travis Konecny,PHI,C/LW,8750000,8,2033,UFA,PHI,eh_2025-26
Sidney Crosby,PIT,C,8700000,2,2027,UFA,PIT,eh_2025-26
Patrik Laine,MTL,RW,8700000,1,2026,UFA,MTL,eh_2025-26
Dylan Larkin,DET,C,8700000,6,2031,UFA,DET,eh_2025-26
Sam Reinhart,FLA,C,8625000,7,2032,UFA,FLA,eh_2025-26
Pierre-Luc Dubois,WSH,LW,8500000,6,2031,UFA,WSH,eh_2025-26
Nikolaj Ehlers,CAR,LW,8500000,6,2031,UFA,CAR,eh_2025-26
Filip Forsberg,NSH,C,8500000,5,2030,UFA,NSH,eh_2025-26
Bo Horvat,NYI,C,8500000,6,2031,UFA,NYI,eh_2025-26
Mark Scheifele,WPG,C,8500000,6,2031,UFA,WPG,eh_2025-26
Mika Zibanejad,NYR,C,8500000,5,2030,UFA,NYR,eh_2025-26
Roope Hintz,DAL,LW,8450000,6,2031,UFA,DAL,eh_2025-26
Wyatt Johnston,DAL,C,8400000,5,2030,UFA,DAL,eh_2025-26
Tim Stützle,OTT,C,8350000,6,2031,UFA,OTT,eh_2025-26
Brady Tkachuk,OTT,LW,8206000,,,,OTT,eh_2025-26
Tomas Hertl,VGK,C,8138000,5,2030,UFA,VGK,eh_2025-26
Jordan Kyrou,STL,RW,8125000,6,2031,UFA,STL,eh_2025-26
Robert Thomas,STL,C,8125000,6,2031,UFA,STL,eh_2025-26
Lucas Raymond,DET,RW,8075000,7,2032,UFA,DET,eh_2025-26
Sam Bennett,FLA,C,8000000,8,2033,UFA,FLA,eh_2025-26
Pavel Buchnevich,STL,LW/RW,8000000,6,2031,UFA,STL,eh_2025-26
Logan Couture,SJS,C,8000000,2,2027,UFA,SJS,spotrac_current
Jack Hughes,NJD,C,8000000,5,2030,UFA,NJD,eh_2025-26
J.T. Miller,NYR,C,8000000,5,2030,UFA,NYR,eh_2025-26
Steven Stamkos,NSH,C,8000000,3,2028,UFA,NSH,eh_2025-26
Josh Norris,BUF,C,7950000,5,2030,UFA,BUF,eh_2025-26
Jesper Bratt,NJD,LW,7875000,6,2031,UFA,NJD,eh_2025-26
Alexander Debrincat,DET,RW,7875000,2,2027,UFA,DET,eh_2025-26
Kevin Fiala,LAK,LW,7875000,4,2029,UFA,LAK,eh_2025-26
Nick Suzuki,MTL,C,7875000,5,2030,UFA,MTL,eh_2025-26
Cole Caufield,MTL,RW,7850000,6,2031,UFA,MTL,eh_2025-26
Sean Couturier,PHI,C,7750000,5,2030,UFA,PHI,eh_2025-26
Matthew Knies,TOR,LW,7750000,6,2031,UFA,TOR,eh_2025-26
Elias Lindholm,BOS,C/RW,7750000,6,2031,UFA,BOS,eh_2025-26
Jason Robertson,DAL,LW,7750000,2,2027,UFA,DAL,eh_2025-26
Andrei Svechnikov,CAR,RW,7750000,4,2029,UFA,CAR,eh_2025-26
John-Jason Peterka,UTA,C,7700000,5,2030,UFA,UTA,eh_2025-26
Juraj Slafkovsky,MTL,LW,7600000,8,2033,UFA,MTL,eh_2025-26
Brock Nelson,COL,C/LW,7500000,3,2028,UFA,COL,eh_2025-26
Gabe Vilardi,WPG,C,7500000,5,2030,UFA,WPG,eh_2025-26
Alexis Lafrenière,NYR,LW,7450000,7,2032,UFA,NYR,eh_2025-26
Seth Jarvis,CAR,RW,7420000,7,2032,UFA,CAR,eh_2025-26
