playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8475791,2025,Taylor Hall,CAR,L,other,19,310.0,14.0,13.63,0.92,0.67,0.78,0.46,0.83,0.52,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0,0.0,1.0,8.0,2.0,3.0,2.0,7.0,0.0,0.0,2188.0,0.0,0.0,0.0,0.0,3.53,0.23,0.23,0.23,0.23,1.0,4.0,2.0,7.0,0.0,0.0,0.0,4.0,1.0,0.0,0.13,0.1,0.0,0.0,0.0,0.0,7.0,5.0,5.0,0.06,0.0,0.0,0.29,0.29,0.28,0.74,0.02,0.02,0.02,0.02,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.01,0.0,0.0,0.03,0.03,0.03,6.7,3.29,42.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
8475791,2025,Taylor Hall,CAR,L,all,19,18784.0,426.0,25.94,0.7,0.55,0.65,0.56,0.68,0.55,142.0,60.21,6.88,4.24,14.58,2.02,29.11,21.17,6.03,7.04,6.17,8.0,4.0,55.0,23.0,28.0,106.0,19.0,7.0,8.0,3.0,10.0,1.0,30.0,22.0,48.0,71.0,7.0,14.0,5.0,24.0,3.0,13.0,52.0,17.0,9.0,1.6,2.41,2.87,2.0,2.0,3.0,108.58,78.0,79.92,3.0,0.96,2.07,2.73,5.11,5.21,5.06,426.0,80.0,15.0,47.0,284.0,77.0,50.0,69.0,230.0,5.0,9.0,55943.0,14.0,12.0,6.0,13.0,222.08,22.13,20.53,22.65,21.01,188.0,107.0,106.0,401.0,25.0,33.0,5.0,212.0,58.0,25.0,6.55,7.55,8.03,13.0,8.0,4.0,411.05,295.0,302.68,3.43,6.97,6.97,18.59,18.98,18.52,107.37,9.3,9.08,9.45,9.23,80.0,62.0,70.0,212.0,8.0,9.0,0.0,95.0,42.0,5.0,2.67,5.49,1.15,2.0,5.0,1.0,210.88,142.0,141.59,1.49,1.21,1.21,9.58,9.69,9.55,51.08,41.14,969.0,767.0,0.0,0.0,0.0,0.0,0.0,0.0
8475791,2025,Taylor Hall,CAR,L,5on5,19,15751.0,361.0,25.94,0.68,0.51,0.62,0.57,0.64,0.56,96.0,53.34,5.95,3.53,12.79,1.77,26.22,19.74,5.13,6.11,5.26,7.0,3.0,49.0,21.0,22.0,92.0,17.0,7.0,8.0,3.0,10.0,1.0,25.0,19.0,42.0,63.0,6.0,12.0,3.0,21.0,2.0,12.0,48.0,14.0,8.0,1.53,2.0,2.42,2.0,2.0,3.0,94.58,70.0,71.92,3.0,0.74,2.07,2.67,4.01,4.12,4.0,361.0,51.0,14.0,45.0,251.0,68.0,42.0,61.0,190.0,3.0,5.0,41976.0,12.0,12.0,6.0,13.0,184.15,18.05,16.8,18.57,17.27,154.0,91.0,83.0,328.0,22.0,28.0,4.0,178.0,45.0,22.0,5.53,5.96,6.57,12.0,7.0,3.0,338.05,245.0,252.68,2.59,5.9,5.9,14.75,15.14,14.86,101.97,8.63,8.43,8.78,8.57,74.0,61.0,69.0,204.0,8.0,9.0,0.0,92.0,38.0,5.0,2.53,4.95,1.15,2.0,5.0,1.0,202.88,135.0,134.59,1.4,1.21,1.21,8.81,8.92,8.8,28.67,27.46,732.0,559.0,0.47,0.64,11.0,14.0,8.0,11.0
8475791,2025,Taylor Hall,CAR,L,4on5,19,28.0,3.0,3.62,0.0,0.62,0.0,0.38,0.0,0.44,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.26,0.24,0.26,0.24,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.04,0.0,0.0,0.29,0.29,0.27,0.39,0.24,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
8475791,2025,Taylor Hall,CAR,L,5on4,19,2695.0,48.0,25.94,0.95,0.85,0.96,0.91,0.94,0.89,101.0,6.87,0.94,0.72,1.79,0.24,2.88,1.43,0.91,0.94,0.91,1.0,1.0,6.0,2.0,6.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,6.0,8.0,0.0,0.0,2.0,2.0,0.0,1.0,4.0,3.0,1.0,0.07,0.41,0.45,0.0,0.0,0.0,14.0,8.0,8.0,0.0,0.21,0.0,0.06,1.09,1.09,1.05,48.0,23.0,1.0,1.0,23.0,7.0,5.0,4.0,32.0,2.0,1.0,4345.0,0.0,0.0,0.0,0.0,34.4,3.85,3.51,3.85,3.51,33.0,12.0,21.0,66.0,3.0,5.0,1.0,30.0,12.0,3.0,0.89,1.5,1.46,1.0,1.0,1.0,66.0,45.0,45.0,0.78,1.07,1.07,3.55,3.55,3.38,2.27,0.2,0.2,0.2,0.2,3.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.12,0.08,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.02,0.0,0.0,0.22,0.22,0.21,6.82,1.16,136.0,14.0,0.0,0.05,2.0,1.0,1.0,1.0
8481553,2025,Bobby Brink,MIN,R,other,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8481553,2025,Bobby Brink,MIN,R,all,4,4097.0,88.0,1.35,0.72,0.44,0.64,0.43,0.67,0.43,31.0,5.13,0.69,0.42,1.4,0.21,2.41,1.87,0.65,0.67,0.64,1.0,0.0,2.0,5.0,4.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,7.0,2.0,4.0,0.0,9.0,0.0,2.0,4.0,1.0,2.0,0.15,0.08,0.46,0.0,0.0,0.0,10.66,7.0,6.79,1.0,0.1,0.0,0.0,0.79,0.77,0.73,88.0,17.0,7.0,14.0,50.0,9.0,15.0,17.0,47.0,0.0,0.0,13404.0,4.0,0.0,0.0,6.0,40.93,3.04,2.92,2.99,2.87,34.0,22.0,24.0,80.0,2.0,3.0,0.0,43.0,10.0,3.0,1.28,1.07,0.69,2.0,0.0,0.0,78.53,56.0,54.96,0.59,0.35,0.35,3.29,3.23,3.11,20.07,1.16,1.12,1.2,1.17,18.0,9.0,18.0,45.0,1.0,2.0,0.0,22.0,4.0,1.0,0.54,0.41,0.21,1.0,0.0,0.0,45.68,27.0,27.8,0.22,0.25,0.25,1.13,1.16,1.14,9.32,12.09,188.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0
8481553,2025,Bobby Brink,MIN,R,5on5,4,3330.0,74.0,1.35,0.62,0.46,0.55,0.44,0.59,0.42,31.0,3.88,0.39,0.24,1.11,0.15,1.64,1.47,0.37,0.37,0.35,0.0,0.0,2.0,3.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,5.0,2.0,4.0,0.0,8.0,0.0,2.0,3.0,1.0,1.0,0.09,0.08,0.22,0.0,0.0,0.0,7.65,5.0,4.79,1.0,0.05,0.0,0.0,0.44,0.42,0.4,74.0,8.0,7.0,14.0,45.0,9.0,11.0,13.0,41.0,0.0,0.0,10089.0,4.0,0.0,0.0,6.0,28.96,1.92,1.85,1.86,1.8,26.0,13.0,16.0,55.0,1.0,3.0,0.0,30.0,7.0,2.0,0.75,0.73,0.45,1.0,0.0,0.0,53.53,39.0,37.96,0.34,0.35,0.35,1.92,1.86,1.8,20.07,1.16,1.12,1.2,1.17,18.0,9.0,18.0,45.0,1.0,2.0,0.0,22.0,4.0,1.0,0.54,0.41,0.21,1.0,0.0,0.0,45.68,27.0,27.8,0.22,0.25,0.25,1.13,1.16,1.14,6.09,7.16,140.0,180.0,0.01,0.0,1.0,0.0,1.0,0.0
8481553,2025,Bobby Brink,MIN,R,4on5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8481553,2025,Bobby Brink,MIN,R,5on4,4,767.0,14.0,1.35,1.0,0.92,1.0,0.89,1.0,0.9,23.0,1.25,0.31,0.17,0.28,0.07,0.77,0.4,0.29,0.31,0.29,1.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.06,0.0,0.24,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.04,0.0,0.0,0.35,0.35,0.33,14.0,9.0,0.0,0.0,5.0,0.0,4.0,4.0,6.0,0.0,0.0,1266.0,0.0,0.0,0.0,0.0,11.96,1.12,1.07,1.12,1.07,8.0,9.0,8.0,25.0,1.0,0.0,0.0,13.0,3.0,1.0,0.54,0.34,0.24,1.0,0.0,0.0,25.0,17.0,17.0,0.25,0.0,0.0,1.37,1.37,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.13,34.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
